app_name,path,location,resourcegroup_publish,hostpool_assign,hostpool_packagepull,resourcegroup_hostpool_packagepull,usergroup_assign,ImagePackageFamilyName,ImagePackageApplication,ImageVersion,ImageIsActive,SystemDataCreatedAt
Citrix-XenCenter,\\storageaccountname.file.core.windows.net\\storageaccountname.file.core.windows.net\appattach\Images\AppV\Citrix-XenCenter 8.2.6 EN-001.appv,westeurope,rg-avd-sam-uks-service-obj,multi-session-pool-sam-uks-001,multi-session-pool-sam-uks-001,rg-avd-sam-uks-service-obj,APP-KK-AVD-SAM-Pooled-Desktop-Users,ddc39f18-371d-418d-ae1d-63410,System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DesktopVirtualization.Models.IMsixPackageApplications],8.2.6.0,TRUE,30-10-25 11:24
DBeaver 24,\\storageaccountname.file.core.windows.net\\storageaccountname.file.core.windows.net\appattach\Images\AppV\DBeaver-DBeaver 24.3.0 EN-002.appv,westeurope,rg-avd-sam-uks-service-obj,multi-session-pool-sam-uks-001;multi-session-pool-ind-uks-001,multi-session-pool-sam-uks-001,rg-avd-sam-uks-service-obj,APP-KK-AVD-SAM-Pooled-Desktop-Users;APP-KK-AVD-IND-Pooled-Desktop-Users,750c37ff-4b3c-a3f6-32028bd86852,System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DesktopVirtualization.Models.IMsixPackageApplications],24.3.0.0,TRUE,17-04-25 12:55
